postcode,gemeente,provincie,gewest
1000,Brussel,,Brussels Hoofdstedelijk Gewest
1000,Elsene,,Brussels Hoofdstedelijk Gewest
1000,Sint-Joost-ten-Node,,Brussels Hoofdstedelijk Gewest
1005,Brussel,,Brussels Hoofdstedelijk Gewest
1006,Brussel,,Brussels Hoofdstedelijk Gewest
1007,Brussel,,Brussels Hoofdstedelijk Gewest
1008,Brussel,,Brussels Hoofdstedelijk Gewest
1009,Brussel,,Brussels Hoofdstedelijk Gewest
1011,Brussel,,Brussels Hoofdstedelijk Gewest
1012,Brussel,,Brussels Hoofdstedelijk Gewest
1020,Brussel,,Brussels Hoofdstedelijk Gewest
1030,Schaarbeek,,Brussels Hoofdstedelijk Gewest
1031,Schaarbeek,,Brussels Hoofdstedelijk Gewest
1033,Schaarbeek,,Brussels Hoofdstedelijk Gewest
1035,Schaarbeek,,Brussels Hoofdstedelijk Gewest
1040,Brussel,,Brussels Hoofdstedelijk Gewest
1040,Etterbeek,,Brussels Hoofdstedelijk Gewest
1041,Brussel,,Brussels Hoofdstedelijk Gewest
1043,Schaarbeek,,Brussels Hoofdstedelijk Gewest
1044,Schaarbeek,,Brussels Hoofdstedelijk Gewest
1046,Evere,,Brussels Hoofdstedelijk Gewest
1047,Elsene,,Brussels Hoofdstedelijk Gewest
1048,Brussel,,Brussels Hoofdstedelijk Gewest
1049,Evere,,Brussels Hoofdstedelijk Gewest
1050,Elsene,,Brussels Hoofdstedelijk Gewest
1050,Sint-Gillis,,Brussels Hoofdstedelijk Gewest
1060,Sint-Gillis,,Brussels Hoofdstedelijk Gewest
1070,Anderlecht,,Brussels Hoofdstedelijk Gewest
1080,Sint-Jans-Molenbeek,,Brussels Hoofdstedelijk Gewest
1081,Koekelberg,,Brussels Hoofdstedelijk Gewest
1082,Sint-Agatha-Berchem,,Brussels Hoofdstedelijk Gewest
1083,Ganshoren,,Brussels Hoofdstedelijk Gewest
1090,Jette,,Brussels Hoofdstedelijk Gewest
1099,Brussel,,Brussels Hoofdstedelijk Gewest
1105,Brussel,,Brussels Hoofdstedelijk Gewest
1110,Brussel,,Brussels Hoofdstedelijk Gewest
1120,Brussel,,Brussels Hoofdstedelijk Gewest
1130,Brussel,,Brussels Hoofdstedelijk Gewest
1140,Evere,,Brussels Hoofdstedelijk Gewest
1150,Sint-Pieters-Woluwe,,Brussels Hoofdstedelijk Gewest
1160,Oudergem,,Brussels Hoofdstedelijk Gewest
1170,Watermaal-Bosvoorde,,Brussels Hoofdstedelijk Gewest
1180,Ukkel,,Brussels Hoofdstedelijk Gewest
1190,Vorst,,Brussels Hoofdstedelijk Gewest
1200,Sint-Lambrechts-Woluwe,,Brussels Hoofdstedelijk Gewest
1210,Sint-Joost-ten-Node,,Brussels Hoofdstedelijk Gewest
1212,Sint-Joost-ten-Node,,Brussels Hoofdstedelijk Gewest
1300,Wavre,,Waals Gewest
1301,Wavre,,Waals Gewest
1310,La Hulpe,,Waals Gewest
1315,Incourt,,Waals Gewest
1320,Beauvechain,,Waals Gewest
1325,Chaumont-Gistoux,,Waals Gewest
1330,Rixensart,,Waals Gewest
1331,Rixensart,,Waals Gewest
1332,Rixensart,,Waals Gewest
1340,Ottignies-Louvain-la-Neuve,,Waals Gewest
1341,Ottignies-Louvain-la-Neuve,,Waals Gewest
1342,Ottignies-Louvain-la-Neuve,,Waals Gewest
1348,Ottignies-Louvain-la-Neuve,,Waals Gewest
1350,Orp-Jauche,,Waals Gewest
1357,Hélécine,,Waals Gewest
1360,Perwez,,Waals Gewest
1367,Ramillies,,Waals Gewest
1370,Jodoigne,,Waals Gewest
1380,Lasne,,Waals Gewest
1390,Grez-Doiceau,,Waals Gewest
1400,Nivelles,,Waals Gewest
1401,Nivelles,,Waals Gewest
1402,Nivelles,,Waals Gewest
1404,Nivelles,,Waals Gewest
1410,Waterloo,,Waals Gewest
1420,Braine-l'Alleud,,Waals Gewest
1421,Braine-l'Alleud,,Waals Gewest
1428,Braine-l'Alleud,,Waals Gewest
1430,Rebecq,,Waals Gewest
1435,Mont-Saint-Guibert,,Waals Gewest
1440,Braine-le-Château,,Waals Gewest
1450,Chastre,,Waals Gewest
1457,Walhain,,Waals Gewest
1460,Ittre,,Waals Gewest
1461,Ittre,,Waals Gewest
1470,Genappe,,Waals Gewest
1471,Genappe,,Waals Gewest
1472,Genappe,,Waals Gewest
1473,Genappe,,Waals Gewest
1474,Genappe,,Waals Gewest
