postcode,gemeente,provincie,gewest
1500,Halle,Vlaams-Brabant,Vlaams Gewest
1501,Halle,Vlaams-Brabant,Vlaams Gewest
1502,Halle,Vlaams-Brabant,Vlaams Gewest
1540,Herne,Vlaams-Brabant,Vlaams Gewest
1541,Herne,Vlaams-Brabant,Vlaams Gewest
1547,Bever,Vlaams-Brabant,Vlaams Gewest
1560,Hoeilaart,Vlaams-Brabant,Vlaams Gewest
1570,Galmaarden,Vlaams-Brabant,Vlaams Gewest
1600,Sint-Pieters-Leeuw,Vlaams-Brabant,Vlaams Gewest
1601,Sint-Pieters-Leeuw,Vlaams-Brabant,Vlaams Gewest
1602,Sint-Pieters-Leeuw,Vlaams-Brabant,Vlaams Gewest
1620,Drogenbos,Vlaams-Brabant,Vlaams Gewest
1630,Linkebeek,Vlaams-Brabant,Vlaams Gewest
1640,Sint-Genesius-Rode,Vlaams-Brabant,Vlaams Gewest
1650,Beersel,Vlaams-Brabant,Vlaams Gewest
1651,Beersel,Vlaams-Brabant,Vlaams Gewest
1652,Beersel,Vlaams-Brabant,Vlaams Gewest
1653,Beersel,Vlaams-Brabant,Vlaams Gewest
1654,Beersel,Vlaams-Brabant,Vlaams Gewest
1670,Pepingen,Vlaams-Brabant,Vlaams Gewest
1671,Pepingen,Vlaams-Brabant,Vlaams Gewest
1673,Pepingen,Vlaams-Brabant,Vlaams Gewest
1674,Pepingen,Vlaams-Brabant,Vlaams Gewest
1700,Dilbeek,Vlaams-Brabant,Vlaams Gewest
1701,Dilbeek,Vlaams-Brabant,Vlaams Gewest
1702,Dilbeek,Vlaams-Brabant,Vlaams Gewest
1703,Dilbeek,Vlaams-Brabant,Vlaams Gewest
1730,Asse,Vlaams-Brabant,Vlaams Gewest
1731,Asse,Vlaams-Brabant,Vlaams Gewest
1733,Asse,Vlaams-Brabant,Vlaams Gewest
1740,Ternat,Vlaams-Brabant,Vlaams Gewest
1741,Ternat,Vlaams-Brabant,Vlaams Gewest
1742,Ternat,Vlaams-Brabant,Vlaams Gewest
1745,Opwijk,Vlaams-Brabant,Vlaams Gewest
1750,Lennik,Vlaams-Brabant,Vlaams Gewest
